pfam_id,ppa_locus,evalue_full_seq,Description
14-3-3|PF00244.21,ppa_stranded_DN29292_c0_g1_i1,1.20E-99,14-3-3
Alg6_Alg8|PF03155.16,PPA11251,6.70E-85,"ALG6,"
Alk_phosphatase|PF00245.21,ppa_stranded_DN27493_c0_g1_i1,3.50E-42,Alkaline
Alk_phosphatase|PF00245.21,ppa_stranded_DN27493_c1_g2_i2,7.80E-45,Alkaline
Alk_phosphatase|PF00245.21,PPA12246,5.80E-87,Alkaline
ALMS_motif|PF15309.7,PPA39348,0.0012,ALMS
ALMT|PF11744.9,PPA33085,0.0032,Aluminium
Alpha_adaptin_C|PF02296.17,PPA21876,9.90E-17,Alpha
Alpha_kinase|PF02816.19,Contig215-snapTAU.2,8.60E-40,Alpha-kinase
Alpha_kinase|PF02816.19,ppa_stranded_DN26457_c0_g1_i1,2.00E-60,Alpha-kinase
Alpha_kinase|PF02816.19,ppa_stranded_DN27863_c0_g2_i2,2.30E-39,Alpha-kinase
Alpha_kinase|PF02816.19,PPA12638,1.60E-65,Alpha-kinase
Alpha_L_fucos|PF01120.18,ppa_stranded_DN25344_c0_g1_i1,9.90E-111,Alpha-L-fucosidase
Alpha-2-MRAP_C|PF06401.12,PPA34665,1.50E-21,Alpha-2-macroglobulin
Alpha-amylase_C|PF02806.19,PPA19531,5.00E-18,Alpha
Alpha-amylase|PF00128.25,PPA10829,4.90E-35,Alpha
Alpha-amylase|PF00128.25,PPA16489,2.00E-16,Alpha
Alpha-amylase|PF00128.25,PPA23380,8.40E-39,Alpha
Alpha-amylase|PF00128.25,PPA28866,2.50E-16,Alpha
Amelogenin|PF02948.16,PPA08939,0.0029,Amelogenin
Amidase|PF01425.22,Contig43-snapTAU.99,1.10E-73,Amidase
Amidase|PF01425.22,ppa_stranded_DN23742_c0_g1_i1,7.00E-92,Amidase
Amidase|PF01425.22,ppa_stranded_DN26860_c0_g1_i1,3.00E-76,Amidase
Amidase|PF01425.22,ppa_stranded_DN29776_c0_g1_i4,2.30E-90,Amidase
Amidase|PF01425.22,ppa_stranded_DN30778_c1_g5_i1,1.00E-08,Amidase
Amidase|PF01425.22,PPA05964,1.80E-80,Amidase
Amidase|PF01425.22,PPA13241,5.30E-100,Amidase
Amidase|PF01425.22,PPA16448,8.40E-85,Amidase
Amidase|PF01425.22,PPA16456,7.50E-85,Amidase
Amidase|PF01425.22,PPA20921,2.30E-79,Amidase
Amidase|PF01425.22,PPA21895,2.10E-79,Amidase
Amidase|PF01425.22,PPA23287,7.10E-104,Amidase
Amidase|PF01425.22,PPA34177,7.00E-100,Amidase
Amidase|PF01425.22,PPA34408,4.90E-101,Amidase
Amidinotransf|PF02274.18,ppa_stranded_DN20846_c0_g1_i1,6.90E-23,Amidinotransferase
Amidinotransf|PF02274.18,ppa_stranded_DN25464_c0_g1_i2,1.10E-20,Amidinotransferase
Amidinotransf|PF02274.18,PPA00311,0.0014,Amidinotransferase
Amidinotransf|PF02274.18,PPA18717,4.50E-19,Amidinotransferase
Amidohydro_1|PF01979.21,PPA07575,3.80E-19,Amidohydrolase
Amidohydro_1|PF01979.21,PPA07576,9.90E-25,Amidohydrolase
Amidohydro_1|PF01979.21,PPA19975,2.10E-14,Amidohydrolase
Amidohydro_1|PF01979.21,PPA27702,3.30E-52,Amidohydrolase
Amidohydro_1|PF01979.21,PPA39875,7.50E-24,Amidohydrolase
Amidohydro_2|PF04909.15,ppa_stranded_DN8612_c0_g1_i1,2.00E-73,Amidohydrolase
Amidohydro_2|PF04909.15,PPA20301,0.00013,Amidohydrolase
Amino_oxidase|PF01593.25,ppa_stranded_DN16305_c0_g1_i1,4.30E-83,Flavin
Amino_oxidase|PF01593.25,ppa_stranded_DN18385_c0_g1_i1,3.20E-79,Flavin
Amino_oxidase|PF01593.25,PPA02472,6.50E-42,Flavin
Amino_oxidase|PF01593.25,PPA06408,8.10E-13,Flavin
Amino_oxidase|PF01593.25,PPA10249,2.00E-49,Flavin
Amino_oxidase|PF01593.25,PPA10479,3.40E-54,Flavin
Amino_oxidase|PF01593.25,PPA12825,1.30E-34,Flavin
Amino_oxidase|PF01593.25,PPA14132,1.00E-13,Flavin
Amino_oxidase|PF01593.25,PPA28839,3.00E-64,Flavin
Amino_oxidase|PF01593.25,PPA36646,1.10E-54,Flavin
Amino_oxidase|PF01593.25,PPA41925,9.50E-16,Flavin
Amino_oxidase|PF01593.25,PPA41926,6.80E-26,Flavin
Amino_oxidase|PF01593.25,PPA41992,3.70E-54,Flavin
Aminotran_1_2|PF00155.22,Iso_D.623.1,5.60E-36,Aminotransferase
Aminotran_1_2|PF00155.22,ppa_stranded_DN24511_c1_g2_i1,1.50E-37,Aminotransferase
Aminotran_1_2|PF00155.22,ppa_stranded_DN29429_c0_g3_i3,2.80E-56,Aminotransferase
Aminotran_1_2|PF00155.22,ppa_stranded_DN30605_c0_g2_i1,8.40E-46,Aminotransferase
Aminotran_1_2|PF00155.22,PPA01826,1.30E-42,Aminotransferase
Aminotran_1_2|PF00155.22,PPA06531,1.80E-81,Aminotransferase
Aminotran_1_2|PF00155.22,PPA20519,9.00E-67,Aminotransferase
Aminotran_1_2|PF00155.22,PPA24565,4.80E-42,Aminotransferase
Aminotran_1_2|PF00155.22,PPA26627,4.60E-52,Aminotransferase
Aminotran_1_2|PF00155.22,PPA29371,4.90E-67,Aminotransferase
Aminotran_1_2|PF00155.22,PPA34854,6.10E-83,Aminotransferase
Aminotran_1_2|PF00155.22,PPA41442,3.50E-45,Aminotransferase
Aminotran_1_2|PF00155.22,PPA45711,2.70E-24,Aminotransferase
Aminotran_3|PF00202.22,ppa_stranded_DN19789_c0_g1_i3,7.70E-66,Aminotransferase
Aminotran_3|PF00202.22,ppa_stranded_DN19789_c0_g1_i5,4.10E-59,Aminotransferase
Aminotran_3|PF00202.22,ppa_stranded_DN25816_c0_g1_i1,3.30E-119,Aminotransferase
Aminotran_3|PF00202.22,PPA01710,5.70E-82,Aminotransferase
Aminotran_3|PF00202.22,PPA19162,2.40E-85,Aminotransferase
Aminotran_3|PF00202.22,PPA42440,4.80E-35,Aminotransferase
Aminotran_4|PF01063.20,PPA00359,4.70E-26,Amino-transferase
Aminotran_4|PF01063.20,PPA19695,3.50E-28,Amino-transferase
Aminotran_4|PF01063.20,PPA26085,9.00E-25,Amino-transferase
Aminotran_4|PF01063.20,PPA29269,1.20E-25,Amino-transferase
Aminotran_4|PF01063.20,PPA34931,2.80E-25,Amino-transferase
Aminotran_5|PF00266.20,ppa_stranded_DN23221_c0_g1_i2,7.40E-49,Aminotransferase
Aminotran_5|PF00266.20,ppa_stranded_DN24749_c0_g1_i2,1.40E-43,Aminotransferase
Aminotran_5|PF00266.20,ppa_stranded_DN31096_c1_g7_i2,1.30E-87,Aminotransferase
Aminotran_5|PF00266.20,PPA01098,2.60E-38,Aminotransferase
Aminotran_5|PF00266.20,PPA27500,1.20E-06,Aminotransferase
Aminotran_5|PF00266.20,PPA28308,1.70E-09,Aminotransferase
AMMECR1|PF01871.18,ppa_stranded_DN19271_c0_g1_i1,5.70E-50,AMMECR1
Ammonium_transp|PF00909.22,ppa_stranded_DN24711_c0_g1_i1,3.00E-80,Ammonium
Ammonium_transp|PF00909.22,ppa_stranded_DN27727_c0_g2_i4,7.20E-69,Ammonium
Ammonium_transp|PF00909.22,PPA05360,6.90E-59,Ammonium
Ammonium_transp|PF00909.22,PPA18511,7.00E-98,Ammonium
Ammonium_transp|PF00909.22,PPA20736,7.90E-60,Ammonium
Ammonium_transp|PF00909.22,PPA20944,5.00E-106,Ammonium
Ammonium_transp|PF00909.22,PPA36731,8.80E-71,Ammonium
Amnionless|PF14828.7,ppa_stranded_DN18691_c0_g2_i1,6.20E-22,Amnionless
Amnionless|PF14828.7,PPA28218,0.0046,Amnionless
Amnionless|PF14828.7,PPA35003,0.00059,Amnionless
AMOP|PF03782.18,ppa_stranded_DN29342_c1_g1_i1,4.20E-45,AMOP
AMOP|PF03782.18,PPA18996,6.50E-41,AMOP
AMOP|PF03782.18,PPA33953,3.70E-43,AMOP
AMP-binding_C|PF13193.7,PPA37362,2.80E-07,AMP-binding
AMP-binding_C|PF13193.7,PPA38151,0.00052,AMP-binding
AMP-binding_C|PF13193.7,PPA38158,0.00052,AMP-binding
AMP-binding_C|PF13193.7,PPA38192,0.00052,AMP-binding
AMP-binding_C|PF13193.7,PPA43387,0.00055,AMP-binding
AMP-binding|PF00501.29,Contig45-snapTAU.42,5.30E-81,AMP-binding
AMP-binding|PF00501.29,Iso_D.9801.1,1.10E-83,AMP-binding
AMP-binding|PF00501.29,ppa_stranded_DN21900_c0_g1_i1,2.90E-87,AMP-binding
AMP-binding|PF00501.29,ppa_stranded_DN24377_c0_g1_i1,9.70E-73,AMP-binding
AMP-binding|PF00501.29,ppa_stranded_DN26431_c0_g1_i1,7.20E-79,AMP-binding
AMP-binding|PF00501.29,ppa_stranded_DN26506_c0_g1_i1,8.20E-90,AMP-binding
AMP-binding|PF00501.29,ppa_stranded_DN27383_c1_g1_i5,3.40E-102,AMP-binding
AMP-binding|PF00501.29,ppa_stranded_DN29231_c0_g2_i1,7.50E-76,AMP-binding
AMP-binding|PF00501.29,ppa_stranded_DN29603_c0_g1_i1,7.60E-10,AMP-binding
AMP-binding|PF00501.29,ppa_stranded_DN31080_c2_g2_i8,1.70E-103,AMP-binding
AMP-binding|PF00501.29,ppa_stranded_DN44321_c0_g1_i1,3.20E-97,AMP-binding
AMP-binding|PF00501.29,ppa_stranded_DN44425_c0_g1_i1,1.20E-91,AMP-binding
AMP-binding|PF00501.29,PPA01020,7.50E-96,AMP-binding
AMP-binding|PF00501.29,PPA01451,1.20E-77,AMP-binding
AMP-binding|PF00501.29,PPA02505,6.00E-91,AMP-binding
AMP-binding|PF00501.29,PPA05769,2.90E-91,AMP-binding
AMP-binding|PF00501.29,PPA06258,2.50E-98,AMP-binding
AMP-binding|PF00501.29,PPA06273,2.40E-91,AMP-binding
AMP-binding|PF00501.29,PPA06407,2.10E-106,AMP-binding
AMP-binding|PF00501.29,PPA09879,1.70E-93,AMP-binding
AMP-binding|PF00501.29,PPA13800,2.40E-28,AMP-binding
AMP-binding|PF00501.29,PPA13818,9.30E-84,AMP-binding
AMP-binding|PF00501.29,PPA14919,6.90E-213,AMP-binding
AMP-binding|PF00501.29,PPA14920,1.30E-175,AMP-binding
AMP-binding|PF00501.29,PPA18299,3.60E-84,AMP-binding
AMP-binding|PF00501.29,PPA19638,3.80E-72,AMP-binding
AMP-binding|PF00501.29,PPA20681,3.70E-98,AMP-binding
AMP-binding|PF00501.29,PPA23197,2.90E-81,AMP-binding
AMP-binding|PF00501.29,PPA24277,5.60E-135,AMP-binding
AMP-binding|PF00501.29,PPA24751,8.00E-25,AMP-binding
AMP-binding|PF00501.29,PPA28307,9.90E-78,AMP-binding
AMP-binding|PF00501.29,PPA34117,4.80E-15,AMP-binding
AMP-binding|PF00501.29,PPA37935,9.80E-90,AMP-binding
AMP-binding|PF00501.29,PPA38993,1.70E-66,AMP-binding
AMP-binding|PF00501.29,PPA40632,6.50E-21,AMP-binding
AMP-binding|PF00501.29,PPA40900,2.30E-83,AMP-binding
AMP-binding|PF00501.29,PPA43307,2.10E-16,AMP-binding
AMP-binding|PF00501.29,PPA43496,4.70E-88,AMP-binding
AMP-binding|PF00501.29,PPA43683,1.40E-63,AMP-binding
AMP-binding|PF00501.29,PPA45548,8.20E-98,AMP-binding
AMP-binding|PF00501.29,UMM-S245-17.78-mRNA-1_acs_1,1.40E-90,AMP-binding
AMPK1_CBM|PF16561.6,ppa_stranded_DN18022_c0_g2_i1,3.10E-16,Glycogen
AMPK1_CBM|PF16561.6,ppa_stranded_DN28379_c1_g2_i8,3.90E-15,Glycogen
AMPK1_CBM|PF16561.6,ppa_stranded_DN30428_c1_g1_i9,4.80E-19,Glycogen
AMPK1_CBM|PF16561.6,PPA00061,3.60E-28,Glycogen
An_peroxidase|PF03098.16,ppa_stranded_DN21756_c0_g1_i1,2.30E-184,Animal
An_peroxidase|PF03098.16,ppa_stranded_DN26868_c0_g1_i1,0,Animal
An_peroxidase|PF03098.16,ppa_stranded_DN27168_c0_g1_i2,1.70E-155,Animal
An_peroxidase|PF03098.16,ppa_stranded_DN27549_c0_g1_i1,3.70E-185,Animal
An_peroxidase|PF03098.16,ppa_stranded_DN33073_c0_g1_i1,4.00E-147,Animal
An_peroxidase|PF03098.16,PPA10179,6.20E-274,Animal
An_peroxidase|PF03098.16,PPA14656,0,Animal
An_peroxidase|PF03098.16,PPA21576,3.40E-153,Animal
An_peroxidase|PF03098.16,PPA23415,2.20E-161,Animal
An_peroxidase|PF03098.16,PPA24647,6.70E-140,Animal
An_peroxidase|PF03098.16,PPA28156,0,Animal
An_peroxidase|PF03098.16,PPA34365,2.40E-39,Animal
An_peroxidase|PF03098.16,PPA34416,3.70E-114,Animal
An_peroxidase|PF03098.16,PPA35466,4.70E-160,Animal
An_peroxidase|PF03098.16,PPA39172,6.20E-26,Animal
An_peroxidase|PF03098.16,PPA39960,3.30E-153,Animal
An_peroxidase|PF03098.16,UMM-S10-51.59-mRNA-1_part_2,8.60E-252,Animal
ANAPC1|PF12859.8,PPA21350,3.10E-08,Anaphase-promoting
ANAPC10|PF03256.17,Iso_D.875.1,4.50E-47,Anaphase-promoting
ANAPC10|PF03256.17,PPA28815,2.40E-46,Anaphase-promoting
ANAPC3|PF12895.8,PPA11207,1.20E-22,Anaphase-promoting
ANAPC3|PF12895.8,PPA22685,4.80E-20,Anaphase-promoting
ANAPC3|PF12895.8,PPA33912,0.00052,Anaphase-promoting
ANAPC4_WD40|PF12894.8,Iso_D.4332.1,4.60E-11,Anaphase-promoting
ANAPC4_WD40|PF12894.8,ppa_stranded_DN20170_c0_g1_i1,1.50E-08,Anaphase-promoting
ANAPC4_WD40|PF12894.8,ppa_stranded_DN25316_c0_g2_i1,6.60E-17,Anaphase-promoting
ANAPC4_WD40|PF12894.8,ppa_stranded_DN31560_c5_g1_i1,0.0039,Anaphase-promoting
ANAPC4_WD40|PF12894.8,PPA07717,0.0023,Anaphase-promoting
ANAPC4_WD40|PF12894.8,PPA22768,8.50E-08,Anaphase-promoting
ANAPC4_WD40|PF12894.8,PPA23338,3.30E-10,Anaphase-promoting
ANAPC4_WD40|PF12894.8,PPA31461,3.40E-06,Anaphase-promoting
ANAPC4_WD40|PF12894.8,PPA43286,0.0032,Anaphase-promoting
ANAPC4_WD40|PF12894.8,PS312_c9937_g1_i3,3.10E-07,Anaphase-promoting
ANAPC5|PF12862.8,ppa_stranded_DN29750_c0_g1_i1,3.70E-08,Anaphase-promoting
ANF_receptor|PF01094.29,ppa_stranded_DN21395_c0_g1_i1,0.00017,Receptor
ANF_receptor|PF01094.29,ppa_stranded_DN23598_c0_g1_i1,2.30E-60,Receptor
ANF_receptor|PF01094.29,ppa_stranded_DN30024_c1_g1_i3,2.70E-66,Receptor
ANF_receptor|PF01094.29,ppa_stranded_DN31477_c1_g5_i1,7.20E-08,Receptor
ANF_receptor|PF01094.29,ppa_stranded_DN40538_c0_g1_i1,4.90E-34,Receptor
ANF_receptor|PF01094.29,ppa_stranded_DN41181_c0_g1_i1,4.40E-07,Receptor
ANF_receptor|PF01094.29,ppa_stranded_DN4836_c0_g1_i1,1.50E-34,Receptor
ANF_receptor|PF01094.29,PPA03763,5.30E-34,Receptor
ANF_receptor|PF01094.29,PPA05923,7.00E-38,Receptor
ANF_receptor|PF01094.29,PPA15996,1.10E-35,Receptor
ANF_receptor|PF01094.29,PPA19616,1.30E-59,Receptor
ANF_receptor|PF01094.29,PPA26219,0.00061,Receptor
ANF_receptor|PF01094.29,PPA39818,3.80E-65,Receptor
ANF_receptor|PF01094.29,PPA42408,7.40E-32,Receptor
Anillin|PF08174.12,ppa_stranded_DN26469_c0_g2_i1,6.30E-22,Cell
Anillin|PF08174.12,ppa_stranded_DN27061_c0_g1_i3,1.90E-12,Cell
Ank_2|PF12796.8,Contig16-snapTAU.188,8.50E-13,Ankyrin
Ank_2|PF12796.8,Contig36-snapTAU.88,7.40E-26,Ankyrin
Ank_2|PF12796.8,Contig9-snapTAU.184,3.00E-25,Ankyrin
Ank_2|PF12796.8,Iso_D.4840.1,5.80E-46,Ankyrin
Ank_2|PF12796.8,isopolya.5799.1,4.70E-44,Ankyrin
Ank_2|PF12796.8,ppa_stranded_DN10146_c0_g1_i1,2.20E-15,Ankyrin
Ank_2|PF12796.8,ppa_stranded_DN15947_c0_g1_i1,0.00052,Ankyrin
Ank_2|PF12796.8,ppa_stranded_DN18164_c0_g1_i1,1.30E-11,Ankyrin
Ank_2|PF12796.8,ppa_stranded_DN23164_c0_g3_i1,4.40E-38,Ankyrin
Ank_2|PF12796.8,ppa_stranded_DN23255_c0_g1_i3,6.30E-13,Ankyrin
Ank_2|PF12796.8,ppa_stranded_DN23477_c0_g2_i2,3.30E-22,Ankyrin
Ank_2|PF12796.8,ppa_stranded_DN29085_c0_g1_i4,3.10E-28,Ankyrin
Ank_2|PF12796.8,ppa_stranded_DN29278_c3_g1_i1,1.10E-65,Ankyrin
Ank_2|PF12796.8,ppa_stranded_DN29422_c1_g1_i7,8.80E-29,Ankyrin
Ank_2|PF12796.8,ppa_stranded_DN29687_c0_g1_i5,3.70E-122,Ankyrin
Ank_2|PF12796.8,ppa_stranded_DN30180_c0_g1_i2,8.40E-25,Ankyrin
Ank_2|PF12796.8,ppa_stranded_DN30461_c0_g4_i10,2.20E-15,Ankyrin
Ank_2|PF12796.8,ppa_stranded_DN31163_c2_g7_i4,5.90E-126,Ankyrin
Ank_2|PF12796.8,ppa_stranded_DN31313_c0_g1_i1,2.00E-38,Ankyrin
Ank_2|PF12796.8,ppa_stranded_DN31313_c0_g1_i2,8.90E-42,Ankyrin
Ank_2|PF12796.8,ppa_stranded_DN31560_c5_g2_i4,1.50E-24,Ankyrin
Ank_2|PF12796.8,ppa_stranded_DN32467_c0_g1_i1,4.60E-62,Ankyrin
Ank_2|PF12796.8,ppa_stranded_DN40761_c0_g1_i1,1.20E-06,Ankyrin
Ank_2|PF12796.8,ppa_stranded_DN4131_c0_g1_i1,1.50E-09,Ankyrin
Ank_2|PF12796.8,ppa_stranded_DN44569_c0_g1_i1,9.90E-10,Ankyrin
Ank_2|PF12796.8,PPA00147,5.80E-32,Ankyrin
Ank_2|PF12796.8,PPA02897,3.30E-31,Ankyrin
Ank_2|PF12796.8,PPA03197,1.40E-76,Ankyrin
Ank_2|PF12796.8,PPA04387,1.60E-32,Ankyrin
Ank_2|PF12796.8,PPA04419,6.40E-27,Ankyrin
Ank_2|PF12796.8,PPA05682,4.00E-24,Ankyrin
Ank_2|PF12796.8,PPA06400,7.60E-135,Ankyrin
Ank_2|PF12796.8,PPA06571,2.40E-24,Ankyrin
Ank_2|PF12796.8,PPA06853,3.00E-13,Ankyrin
Ank_2|PF12796.8,PPA07991,2.00E-25,Ankyrin
Ank_2|PF12796.8,PPA12661,2.20E-77,Ankyrin
Ank_2|PF12796.8,PPA14234,0.002,Ankyrin
Ank_2|PF12796.8,PPA18953,2.30E-50,Ankyrin
Ank_2|PF12796.8,PPA19720,6.60E-40,Ankyrin
Ank_2|PF12796.8,PPA20516,1.40E-14,Ankyrin
Ank_2|PF12796.8,PPA20877,4.40E-13,Ankyrin
Ank_2|PF12796.8,PPA22846,8.70E-26,Ankyrin
Ank_2|PF12796.8,PPA25365,1.30E-09,Ankyrin
Ank_2|PF12796.8,PPA26392,2.50E-29,Ankyrin
Ank_2|PF12796.8,PPA26966,1.20E-07,Ankyrin
Ank_2|PF12796.8,PPA28285,1.10E-21,Ankyrin
Ank_2|PF12796.8,PPA29551,1.50E-32,Ankyrin
Ank_2|PF12796.8,PPA32371,1.40E-81,Ankyrin
Ank_2|PF12796.8,PPA34094,4.30E-44,Ankyrin
Ank_2|PF12796.8,PPA34783,2.50E-14,Ankyrin
Ank_2|PF12796.8,PPA35056,2.00E-26,Ankyrin
Ank_2|PF12796.8,PPA37002,3.30E-44,Ankyrin
Ank_2|PF12796.8,PPA38621,1.50E-16,Ankyrin
Ank_2|PF12796.8,PPA42333,1.10E-26,Ankyrin
Ank_2|PF12796.8,PPA42871,1.10E-26,Ankyrin
Ank_2|PF12796.8,UMM-S245-10.79-mRNA-1_frag_2,9.90E-27,Ankyrin
Ank_2|PF12796.8,UMM-S2845-14.5-mRNA-1_frag_1,9.10E-16,Ankyrin
Ank_2|PF12796.8,UMM-S344-3.46-mRNA-1_frag,1.30E-38,Ankyrin
Ank_3|PF13606.7,PPA42508,3.10E-05,Ankyrin
Ank_4|PF13637.7,Contig63-snapTAU.117,2.30E-14,Ankyrin
Ank_4|PF13637.7,ppa_stranded_DN23731_c1_g3_i1,7.20E-06,Ankyrin
Ank_4|PF13637.7,ppa_stranded_DN25950_c1_g1_i2,9.00E-40,Ankyrin
Ank_4|PF13637.7,ppa_stranded_DN26265_c0_g1_i1,2.30E-17,Ankyrin
Ank_4|PF13637.7,ppa_stranded_DN30250_c0_g2_i17,2.10E-23,Ankyrin
Ank_4|PF13637.7,ppa_stranded_DN31392_c2_g6_i1,5.40E-22,Ankyrin
Ank_4|PF13637.7,PPA18730,8.90E-19,Ankyrin
Ank_4|PF13637.7,PPA24033,2.60E-25,Ankyrin
Ank_5|PF13857.7,ppa_stranded_DN20739_c0_g2_i1,3.40E-19,Ankyrin
Ank_5|PF13857.7,ppa_stranded_DN23731_c0_g2_i1,1.20E-05,Ankyrin
Ank_5|PF13857.7,ppa_stranded_DN23885_c0_g2_i3,3.30E-07,Ankyrin
Ank_5|PF13857.7,PPA09665,7.00E-10,Ankyrin
Ank|PF00023.31,Iso_D.684.1,1.10E-21,Ankyrin
Ank|PF00023.31,PPA22857,2.20E-09,Ankyrin
Annexin|PF00191.21,ppa_stranded_DN19112_c0_g2_i1,5.50E-95,Annexin
Annexin|PF00191.21,ppa_stranded_DN23711_c0_g2_i2,2.90E-64,Annexin
Annexin|PF00191.21,PPA09908,3.00E-62,Annexin
Annexin|PF00191.21,PPA27138,3.90E-49,Annexin
Anoctamin|PF04547.13,ppa_stranded_DN19826_c0_g1_i1,1.70E-133,Calcium-activated
Anoctamin|PF04547.13,ppa_stranded_DN29945_c0_g1_i3,6.90E-110,Calcium-activated
Anoctamin|PF04547.13,PPA22368,2.30E-115,Calcium-activated
ANTH|PF07651.17,Iso_D.9696.2,1.20E-41,ANTH
ANTH|PF07651.17,ppa_stranded_DN27715_c0_g1_i7,7.40E-46,ANTH
ANTH|PF07651.17,ppa_stranded_DN30393_c0_g1_i4,2.90E-45,ANTH
ANTH|PF07651.17,PPA35619,1.40E-68,ANTH
ANTH|PF07651.17,PPA45326,2.80E-62,ANTH
Anti-TRAP|PF15777.6,PPA27389,0.0045,Tryptophan
Anticodon_1|PF08264.14,PPA20388,0.0089,Anticodon-binding
Anticodon_1|PF08264.14,PPA44210,5.10E-23,Anticodon-binding
Anticodon_1|PF08264.14,PPA45807,2.10E-06,Anticodon-binding
Antimicrobial_6|PF08036.12,PPA02647,3.80E-27,Diapausin
Antimicrobial_6|PF08036.12,PPA02648,4.70E-27,Diapausin
Antimicrobial_6|PF08036.12,PPA11917,2.50E-11,Diapausin
Antimicrobial_6|PF08036.12,PPA20977,7.10E-24,Diapausin
Antimicrobial_6|PF08036.12,PPA36144,6.40E-11,Diapausin
Antimicrobial_6|PF08036.12,PPA41335,2.10E-13,Diapausin
Antimicrobial25|PF16839.6,PPA01653,3.70E-14,Nematode
Antimicrobial25|PF16839.6,PPA22162,2.10E-25,Nematode
Antimicrobial25|PF16839.6,PPA46049,0.0011,Nematode
Antistasin|PF02822.15,PPA23991,1.40E-09,Antistasin
Antistasin|PF02822.15,PPA27176,6.60E-11,Antistasin
AP_endonuc_2|PF01261.25,ppa_stranded_DN21089_c0_g1_i2,1.50E-55,Xylose
AP_endonuc_2|PF01261.25,ppa_stranded_DN26378_c0_g2_i1,2.10E-28,Xylose
AP3D1|PF06375.12,ppa_stranded_DN32963_c0_g1_i1,0.0093,AP-3
ApeC|PF16977.6,PPA36109,1.30E-06,C-terminal
ApeC|PF16977.6,PPA39904,4.30E-06,C-terminal
APG12|PF04110.14,ppa_stranded_DN36496_c0_g1_i1,1.00E-27,Ubiquitin-like
APG5|PF04106.13,ppa_stranded_DN27258_c0_g1_i4,6.00E-43,Autophagy
APG6_N|PF17675.2,PPA27332,0.0084,Apg6
APG6|PF04111.13,ppa_stranded_DN28557_c0_g2_i1,6.00E-39,Apg6
APG9|PF04109.17,ppa_stranded_DN26396_c0_g2_i1,1.70E-145,Autophagy
Aph-1|PF06105.13,ppa_stranded_DN24174_c0_g1_i1,1.20E-42,Aph-1
APH|PF01636.24,ppa_stranded_DN31677_c9_g2_i1,7.90E-40,Phosphotransferase
APH|PF01636.24,PPA13390,1.60E-23,Phosphotransferase
API5|PF05918.12,ppa_stranded_DN21125_c0_g2_i1,3.00E-12,Apoptosis
APOBEC_N|PF08210.12,PPA19596,6.10E-27,APOBEC-like
ApoL|PF05461.12,ppa_stranded_DN27243_c0_g3_i1,1.90E-15,Apolipoprotein
ApoL|PF05461.12,PPA01112,0.0098,Apolipoprotein
ApoL|PF05461.12,PPA44146,3.30E-08,Apolipoprotein
Apolipoprotein|PF01442.19,PPA05630,2.80E-09,Apolipoprotein
Apolipoprotein|PF01442.19,PPA15508,0.00016,Apolipoprotein
Apolipoprotein|PF01442.19,PPA28786,3.40E-06,Apolipoprotein
Apolipoprotein|PF01442.19,PPA29617,0.00063,Apolipoprotein
Apolipoprotein|PF01442.19,PPA30675,2.60E-07,Apolipoprotein
Apolipoprotein|PF01442.19,PPA37798,1.20E-22,Apolipoprotein
Apolipoprotein|PF01442.19,PPA39328,1.70E-05,Apolipoprotein
ApoLp-III|PF07464.12,PPA38180,0.0014,Apolipophorin-III
ApoLp-III|PF07464.12,PPA38377,0.0059,Apolipophorin-III
ApoO|PF09769.10,ppa_stranded_DN20178_c0_g1_i1,2.40E-15,Apolipoprotein
APP_E2|PF12925.8,PPA23511,1.80E-55,E2
APS_kinase|PF01583.21,PPA08866,3.70E-71,Adenylylsulphate
APS_kinase|PF01583.21,PPA36791,8.80E-72,Adenylylsulphate
Apt1|PF10351.10,PPA20930,1.20E-84,Golgi-body
Apyrase|PF06079.12,ppa_stranded_DN36442_c0_g1_i1,6.30E-109,Apyrase
Apyrase|PF06079.12,PPA00386,8.60E-119,Apyrase
Aquarius_N|PF16399.6,ppa_stranded_DN23833_c0_g2_i1,6.00E-278,Intron-binding
ARA70|PF12489.9,ppa_stranded_DN24910_c0_g1_i2,0.0017,Nuclear
Arabinose_trans|PF04602.13,PPA07820,0.0027,Mycobacterial
Archease|PF01951.17,ppa_stranded_DN16486_c0_g1_i1,1.10E-31,Archease
ARD|PF03079.15,Contig45-snapTAU.233,5.50E-36,ARD/ARD'
ARD|PF03079.15,ppa_stranded_DN7884_c0_g1_i1,6.90E-43,ARD/ARD'
ARD|PF03079.15,PPA07969,1.90E-32,ARD/ARD'
ARD|PF03079.15,PPA40115,6.00E-49,ARD/ARD'
Arf|PF00025.22,Contig11-snapTAU.85,1.40E-49,ADP-ribosylation
Arf|PF00025.22,ppa_stranded_DN18077_c0_g2_i1,9.10E-73,ADP-ribosylation
Arf|PF00025.22,ppa_stranded_DN19579_c0_g2_i1,5.10E-68,ADP-ribosylation
Arf|PF00025.22,ppa_stranded_DN23615_c0_g1_i3,1.80E-67,ADP-ribosylation
Arf|PF00025.22,ppa_stranded_DN24339_c0_g1_i2,6.70E-66,ADP-ribosylation
Arf|PF00025.22,ppa_stranded_DN24885_c1_g1_i2,8.20E-79,ADP-ribosylation
